model,data,get_top,roc,ap
IFSKNN,musk,0.01,0.9603,0.7624
IFSKNN,musk,0.02,0.9797,0.8738
IFSKNN,musk,0.03,0.9976,0.9592
IFSKNN,musk,0.04,0.9995,0.9833
IFSKNN,musk,0.05,0.9999,0.997
IFSKNN,musk,0.060000000000000005,0.9999,0.9981
IFSKNN,musk,0.06999999999999999,0.9999,0.9981
IFSKNN,musk,0.08,1.0,0.9988
IFSKNN,musk,0.09,1.0,0.9991
IFSKNN,musk,0.09999999999999999,1.0,0.9991
IFSKNN,musk,0.11,1.0,0.9993
IFSKNN,musk,0.12,1.0,0.9993
IFSKNN,musk,0.13,1.0,0.9993
IFSKNN,musk,0.14,1.0,0.9997
IFSKNN,musk,0.15000000000000002,1.0,1.0
IFSKNN,musk,0.16,1.0,1.0
IFSKNN,musk,0.17,1.0,1.0
IFSKNN,musk,0.18000000000000002,1.0,1.0
IFSKNN,musk,0.19,1.0,1.0
IFSKNN,musk,0.2,1.0,1.0
IFSKNN,musk,0.21000000000000002,1.0,1.0
IFSKNN,musk,0.22,1.0,1.0
IFSKNN,musk,0.23,1.0,1.0
IFSKNN,musk,0.24000000000000002,1.0,1.0
IFSKNN,musk,0.25,1.0,1.0
IFSKNN,musk,0.26,1.0,1.0
IFSKNN,musk,0.27,1.0,1.0
IFSKNN,musk,0.28,1.0,1.0
IFSKNN,musk,0.29000000000000004,1.0,1.0
IFSKNN,musk,0.3,1.0,1.0
IFSKNN,musk,0.31,1.0,1.0
IFSKNN,musk,0.32,1.0,1.0
IFSKNN,musk,0.33,1.0,1.0
IFSKNN,musk,0.34,1.0,1.0
IFSKNN,musk,0.35000000000000003,1.0,1.0
IFSKNN,musk,0.36000000000000004,1.0,1.0
IFSKNN,musk,0.37,1.0,1.0
IFSKNN,musk,0.38,1.0,1.0
IFSKNN,musk,0.39,1.0,1.0
IFSKNN,musk,0.4,1.0,1.0
IFSKNN,musk,0.41000000000000003,1.0,1.0
IFSKNN,musk,0.42000000000000004,1.0,1.0
IFSKNN,musk,0.43,1.0,1.0
IFSKNN,musk,0.44,1.0,1.0
IFSKNN,musk,0.45,1.0,1.0
IFSKNN,musk,0.46,1.0,1.0
IFSKNN,musk,0.47000000000000003,1.0,1.0
IFSKNN,musk,0.48000000000000004,1.0,1.0
IFSKNN,musk,0.49,1.0,1.0
IFSKNN,musk,0.5,1.0,1.0
IFSKNN,musk,0.51,1.0,1.0
IFSKNN,musk,0.52,1.0,1.0
IFSKNN,musk,0.53,1.0,1.0
IFSKNN,musk,0.54,1.0,1.0
IFSKNN,musk,0.55,1.0,1.0
IFSKNN,musk,0.56,1.0,1.0
IFSKNN,musk,0.5700000000000001,1.0,1.0
IFSKNN,musk,0.5800000000000001,1.0,1.0
IFSKNN,musk,0.59,1.0,1.0
IFSKNN,musk,0.6,1.0,1.0
IFSKNN,musk,0.61,1.0,1.0
IFSKNN,musk,0.62,1.0,1.0
IFSKNN,musk,0.63,1.0,1.0
IFSKNN,musk,0.64,1.0,1.0
IFSKNN,musk,0.65,1.0,1.0
IFSKNN,musk,0.66,1.0,1.0
IFSKNN,musk,0.67,1.0,1.0
IFSKNN,musk,0.68,1.0,1.0
IFSKNN,musk,0.6900000000000001,1.0,1.0
IFSKNN,musk,0.7000000000000001,1.0,1.0
IFSKNN,musk,0.7100000000000001,1.0,1.0
IFSKNN,musk,0.72,1.0,1.0
IFSKNN,musk,0.73,1.0,1.0
IFSKNN,musk,0.74,1.0,1.0
IFSKNN,musk,0.75,1.0,1.0
IFSKNN,musk,0.76,1.0,1.0
IFSKNN,musk,0.77,1.0,1.0
IFSKNN,musk,0.78,1.0,1.0
IFSKNN,musk,0.79,1.0,1.0
IFSKNN,musk,0.8,1.0,1.0
IFSKNN,musk,0.81,1.0,1.0
IFSKNN,musk,0.8200000000000001,1.0,1.0
IFSKNN,musk,0.8300000000000001,1.0,1.0
IFSKNN,musk,0.8400000000000001,1.0,1.0
IFSKNN,musk,0.85,1.0,1.0
IFSKNN,musk,0.86,1.0,1.0
IFSKNN,musk,0.87,1.0,1.0
IFSKNN,musk,0.88,1.0,1.0
IFSKNN,musk,0.89,1.0,1.0
IFSKNN,musk,0.9,1.0,1.0
IFSKNN,musk,0.91,1.0,1.0
IFSKNN,musk,0.92,1.0,1.0
IFSKNN,musk,0.93,1.0,1.0
IFSKNN,musk,0.9400000000000001,1.0,1.0
IFSKNN,musk,0.9500000000000001,1.0,1.0
IFSKNN,musk,0.9600000000000001,1.0,1.0
IFSKNN,musk,0.97,1.0,0.9992
IFSKNN,musk,0.98,0.8564,0.5945
IFSKNN,musk,0.99,0.7349,0.4025
IFSKNN,musk,1.0,0.672,0.2577
IFSKNN,pendigits,0.01,0.9373,0.2255
IFSKNN,pendigits,0.02,0.948,0.2728
IFSKNN,pendigits,0.03,0.9577,0.3118
IFSKNN,pendigits,0.04,0.9646,0.3354
IFSKNN,pendigits,0.05,0.9637,0.3411
IFSKNN,pendigits,0.060000000000000005,0.9641,0.3405
IFSKNN,pendigits,0.06999999999999999,0.9624,0.3332
IFSKNN,pendigits,0.08,0.956,0.3104
IFSKNN,pendigits,0.09,0.9472,0.2792
IFSKNN,pendigits,0.09999999999999999,0.9412,0.2596
IFSKNN,pendigits,0.11,0.9276,0.2157
IFSKNN,pendigits,0.12,0.9238,0.2023
IFSKNN,pendigits,0.13,0.9219,0.1978
IFSKNN,pendigits,0.14,0.9201,0.1927
IFSKNN,pendigits,0.15000000000000002,0.9183,0.1871
IFSKNN,pendigits,0.16,0.9163,0.1867
IFSKNN,pendigits,0.17,0.9163,0.1867
IFSKNN,pendigits,0.18000000000000002,0.9133,0.1807
IFSKNN,pendigits,0.19,0.9126,0.1785
IFSKNN,pendigits,0.2,0.9109,0.1761
IFSKNN,pendigits,0.21000000000000002,0.9096,0.1784
IFSKNN,pendigits,0.22,0.9093,0.176
IFSKNN,pendigits,0.23,0.9087,0.1756
IFSKNN,pendigits,0.24000000000000002,0.908,0.1759
IFSKNN,pendigits,0.25,0.9066,0.1742
IFSKNN,pendigits,0.26,0.9048,0.1674
IFSKNN,pendigits,0.27,0.9042,0.1647
IFSKNN,pendigits,0.28,0.9038,0.1643
IFSKNN,pendigits,0.29000000000000004,0.9026,0.1621
IFSKNN,pendigits,0.3,0.9017,0.1615
IFSKNN,pendigits,0.31,0.9008,0.1577
IFSKNN,pendigits,0.32,0.9001,0.1566
IFSKNN,pendigits,0.33,0.8999,0.1569
IFSKNN,pendigits,0.34,0.8998,0.1581
IFSKNN,pendigits,0.35000000000000003,0.8995,0.1585
IFSKNN,pendigits,0.36000000000000004,0.8993,0.1564
IFSKNN,pendigits,0.37,0.8991,0.1562
IFSKNN,pendigits,0.38,0.8991,0.1565
IFSKNN,pendigits,0.39,0.8992,0.1559
IFSKNN,pendigits,0.4,0.8993,0.1559
IFSKNN,pendigits,0.41000000000000003,0.8994,0.1551
IFSKNN,pendigits,0.42000000000000004,0.9,0.155
IFSKNN,pendigits,0.43,0.9006,0.1561
IFSKNN,pendigits,0.44,0.9009,0.1568
IFSKNN,pendigits,0.45,0.9011,0.157
IFSKNN,pendigits,0.46,0.9013,0.1578
IFSKNN,pendigits,0.47000000000000003,0.9018,0.1576
IFSKNN,pendigits,0.48000000000000004,0.9018,0.1568
IFSKNN,pendigits,0.49,0.9022,0.1576
IFSKNN,pendigits,0.5,0.9025,0.1572
IFSKNN,pendigits,0.51,0.9029,0.157
IFSKNN,pendigits,0.52,0.9032,0.1571
IFSKNN,pendigits,0.53,0.9034,0.1574
IFSKNN,pendigits,0.54,0.9054,0.1644
IFSKNN,pendigits,0.55,0.9059,0.1646
IFSKNN,pendigits,0.56,0.9064,0.1662
IFSKNN,pendigits,0.5700000000000001,0.9069,0.1674
IFSKNN,pendigits,0.5800000000000001,0.909,0.1725
IFSKNN,pendigits,0.59,0.9115,0.1773
IFSKNN,pendigits,0.6,0.9144,0.1861
IFSKNN,pendigits,0.61,0.9158,0.1898
IFSKNN,pendigits,0.62,0.9189,0.1965
IFSKNN,pendigits,0.63,0.9215,0.2041
IFSKNN,pendigits,0.64,0.9272,0.2179
IFSKNN,pendigits,0.65,0.9281,0.2217
IFSKNN,pendigits,0.66,0.9314,0.2266
IFSKNN,pendigits,0.67,0.9335,0.2316
IFSKNN,pendigits,0.68,0.9398,0.2441
IFSKNN,pendigits,0.6900000000000001,0.9431,0.252
IFSKNN,pendigits,0.7000000000000001,0.9449,0.2582
IFSKNN,pendigits,0.7100000000000001,0.9482,0.2664
IFSKNN,pendigits,0.72,0.9513,0.2725
IFSKNN,pendigits,0.73,0.9526,0.2779
IFSKNN,pendigits,0.74,0.9536,0.2817
IFSKNN,pendigits,0.75,0.9565,0.2902
IFSKNN,pendigits,0.76,0.9563,0.2947
IFSKNN,pendigits,0.77,0.9567,0.2992
IFSKNN,pendigits,0.78,0.9568,0.3026
IFSKNN,pendigits,0.79,0.9569,0.306
IFSKNN,pendigits,0.8,0.9567,0.3105
IFSKNN,pendigits,0.81,0.9577,0.3175
IFSKNN,pendigits,0.8200000000000001,0.9535,0.3089
IFSKNN,pendigits,0.8300000000000001,0.949,0.3108
IFSKNN,pendigits,0.8400000000000001,0.9439,0.3081
IFSKNN,pendigits,0.85,0.9317,0.2945
IFSKNN,pendigits,0.86,0.9104,0.2728
IFSKNN,pendigits,0.87,0.9018,0.2718
IFSKNN,pendigits,0.88,0.8853,0.2643
IFSKNN,pendigits,0.89,0.8681,0.2608
IFSKNN,pendigits,0.9,0.858,0.2589
IFSKNN,pendigits,0.91,0.8474,0.2594
IFSKNN,pendigits,0.92,0.8369,0.2514
IFSKNN,pendigits,0.93,0.8232,0.249
IFSKNN,pendigits,0.9400000000000001,0.818,0.2523
IFSKNN,pendigits,0.9500000000000001,0.8113,0.2479
IFSKNN,pendigits,0.9600000000000001,0.8039,0.2425
IFSKNN,pendigits,0.97,0.7921,0.2243
IFSKNN,pendigits,0.98,0.7793,0.189
IFSKNN,pendigits,0.99,0.7606,0.113
IFSKNN,pendigits,1.0,0.7385,0.0862
IFSKNN,satellite,0.01,0.6325,0.6069
IFSKNN,satellite,0.02,0.6276,0.6029
IFSKNN,satellite,0.03,0.6454,0.6182
IFSKNN,satellite,0.04,0.6455,0.6194
IFSKNN,satellite,0.05,0.6531,0.6246
IFSKNN,satellite,0.060000000000000005,0.6533,0.6252
IFSKNN,satellite,0.06999999999999999,0.6548,0.6265
IFSKNN,satellite,0.08,0.6555,0.6279
IFSKNN,satellite,0.09,0.6574,0.6296
IFSKNN,satellite,0.09999999999999999,0.6595,0.6313
IFSKNN,satellite,0.11,0.6606,0.6331
IFSKNN,satellite,0.12,0.6621,0.6337
IFSKNN,satellite,0.13,0.6669,0.6384
IFSKNN,satellite,0.14,0.68,0.6467
IFSKNN,satellite,0.15000000000000002,0.6837,0.651
IFSKNN,satellite,0.16,0.6861,0.6536
IFSKNN,satellite,0.17,0.6891,0.6573
IFSKNN,satellite,0.18000000000000002,0.6918,0.6607
IFSKNN,satellite,0.19,0.6956,0.6652
IFSKNN,satellite,0.2,0.7004,0.6702
IFSKNN,satellite,0.21000000000000002,0.7038,0.674
IFSKNN,satellite,0.22,0.7057,0.676
IFSKNN,satellite,0.23,0.7086,0.6791
IFSKNN,satellite,0.24000000000000002,0.7121,0.6822
IFSKNN,satellite,0.25,0.7162,0.6866
IFSKNN,satellite,0.26,0.7171,0.6875
IFSKNN,satellite,0.27,0.7189,0.689
IFSKNN,satellite,0.28,0.7219,0.6939
IFSKNN,satellite,0.29000000000000004,0.7254,0.6985
IFSKNN,satellite,0.3,0.727,0.7002
IFSKNN,satellite,0.31,0.7285,0.702
IFSKNN,satellite,0.32,0.731,0.7037
IFSKNN,satellite,0.33,0.7326,0.7063
IFSKNN,satellite,0.34,0.7341,0.7084
IFSKNN,satellite,0.35000000000000003,0.7364,0.711
IFSKNN,satellite,0.36000000000000004,0.7397,0.7154
IFSKNN,satellite,0.37,0.7409,0.7166
IFSKNN,satellite,0.38,0.7432,0.7195
IFSKNN,satellite,0.39,0.7457,0.7225
IFSKNN,satellite,0.4,0.7476,0.7245
IFSKNN,satellite,0.41000000000000003,0.7497,0.7261
IFSKNN,satellite,0.42000000000000004,0.7524,0.7296
IFSKNN,satellite,0.43,0.7538,0.7305
IFSKNN,satellite,0.44,0.7555,0.7319
IFSKNN,satellite,0.45,0.7579,0.7337
IFSKNN,satellite,0.46,0.7596,0.7358
IFSKNN,satellite,0.47000000000000003,0.7621,0.7378
IFSKNN,satellite,0.48000000000000004,0.7633,0.738
IFSKNN,satellite,0.49,0.765,0.7395
IFSKNN,satellite,0.5,0.767,0.7409
IFSKNN,satellite,0.51,0.7687,0.7423
IFSKNN,satellite,0.52,0.7707,0.7435
IFSKNN,satellite,0.53,0.7713,0.7424
IFSKNN,satellite,0.54,0.7718,0.7412
IFSKNN,satellite,0.55,0.773,0.7416
IFSKNN,satellite,0.56,0.7737,0.7413
IFSKNN,satellite,0.5700000000000001,0.7743,0.7412
IFSKNN,satellite,0.5800000000000001,0.7746,0.7404
IFSKNN,satellite,0.59,0.7753,0.74
IFSKNN,satellite,0.6,0.7761,0.74
IFSKNN,satellite,0.61,0.7768,0.7399
IFSKNN,satellite,0.62,0.7774,0.7399
IFSKNN,satellite,0.63,0.7775,0.7385
IFSKNN,satellite,0.64,0.7782,0.7385
IFSKNN,satellite,0.65,0.7788,0.7384
IFSKNN,satellite,0.66,0.7795,0.7382
IFSKNN,satellite,0.67,0.7793,0.7367
IFSKNN,satellite,0.68,0.7779,0.7325
IFSKNN,satellite,0.6900000000000001,0.7773,0.7309
IFSKNN,satellite,0.7000000000000001,0.7773,0.7302
IFSKNN,satellite,0.7100000000000001,0.777,0.7291
IFSKNN,satellite,0.72,0.7769,0.728
IFSKNN,satellite,0.73,0.7765,0.7267
IFSKNN,satellite,0.74,0.7758,0.7252
IFSKNN,satellite,0.75,0.7749,0.7239
IFSKNN,satellite,0.76,0.7748,0.7234
IFSKNN,satellite,0.77,0.7736,0.7218
IFSKNN,satellite,0.78,0.7723,0.7203
IFSKNN,satellite,0.79,0.7711,0.7186
IFSKNN,satellite,0.8,0.7698,0.7165
IFSKNN,satellite,0.81,0.7672,0.713
IFSKNN,satellite,0.8200000000000001,0.765,0.7096
IFSKNN,satellite,0.8300000000000001,0.7625,0.7057
IFSKNN,satellite,0.8400000000000001,0.76,0.7027
IFSKNN,satellite,0.85,0.7577,0.697
IFSKNN,satellite,0.86,0.7565,0.6937
IFSKNN,satellite,0.87,0.7547,0.6898
IFSKNN,satellite,0.88,0.7516,0.6833
IFSKNN,satellite,0.89,0.7468,0.6714
IFSKNN,satellite,0.9,0.7415,0.6607
IFSKNN,satellite,0.91,0.7367,0.6512
IFSKNN,satellite,0.92,0.7304,0.6372
IFSKNN,satellite,0.93,0.7244,0.6233
IFSKNN,satellite,0.9400000000000001,0.7194,0.613
IFSKNN,satellite,0.9500000000000001,0.7154,0.6041
IFSKNN,satellite,0.9600000000000001,0.7112,0.595
IFSKNN,satellite,0.97,0.7058,0.5842
IFSKNN,satellite,0.98,0.7004,0.5728
IFSKNN,satellite,0.99,0.6919,0.5595
IFSKNN,satellite,1.0,0.6832,0.5486
IFSKNN,satimage-2,0.01,0.9742,0.837
IFSKNN,satimage-2,0.02,0.9806,0.8813
IFSKNN,satimage-2,0.03,0.984,0.8966
IFSKNN,satimage-2,0.04,0.9861,0.9198
IFSKNN,satimage-2,0.05,0.9866,0.9235
IFSKNN,satimage-2,0.060000000000000005,0.9888,0.9277
IFSKNN,satimage-2,0.06999999999999999,0.9892,0.9332
IFSKNN,satimage-2,0.08,0.9885,0.9343
IFSKNN,satimage-2,0.09,0.9889,0.9417
IFSKNN,satimage-2,0.09999999999999999,0.9895,0.9459
IFSKNN,satimage-2,0.11,0.9901,0.9503
IFSKNN,satimage-2,0.12,0.9907,0.9521
IFSKNN,satimage-2,0.13,0.9904,0.9533
IFSKNN,satimage-2,0.14,0.9906,0.9551
IFSKNN,satimage-2,0.15000000000000002,0.9907,0.9556
IFSKNN,satimage-2,0.16,0.9911,0.9564
IFSKNN,satimage-2,0.17,0.9915,0.9582
IFSKNN,satimage-2,0.18000000000000002,0.9921,0.9581
IFSKNN,satimage-2,0.19,0.9924,0.9585
IFSKNN,satimage-2,0.2,0.9924,0.9588
IFSKNN,satimage-2,0.21000000000000002,0.9924,0.9588
IFSKNN,satimage-2,0.22,0.9924,0.9589
IFSKNN,satimage-2,0.23,0.9925,0.9593
IFSKNN,satimage-2,0.24000000000000002,0.9926,0.9599
IFSKNN,satimage-2,0.25,0.9927,0.96
IFSKNN,satimage-2,0.26,0.9927,0.9602
IFSKNN,satimage-2,0.27,0.9928,0.9605
IFSKNN,satimage-2,0.28,0.9928,0.9611
IFSKNN,satimage-2,0.29000000000000004,0.9928,0.9612
IFSKNN,satimage-2,0.3,0.9938,0.9611
IFSKNN,satimage-2,0.31,0.9937,0.9597
IFSKNN,satimage-2,0.32,0.9937,0.9597
IFSKNN,satimage-2,0.33,0.9939,0.9599
IFSKNN,satimage-2,0.34,0.9939,0.9602
IFSKNN,satimage-2,0.35000000000000003,0.994,0.9606
IFSKNN,satimage-2,0.36000000000000004,0.9942,0.961
IFSKNN,satimage-2,0.37,0.9946,0.9615
IFSKNN,satimage-2,0.38,0.9953,0.9616
IFSKNN,satimage-2,0.39,0.9956,0.9619
IFSKNN,satimage-2,0.4,0.9957,0.9624
IFSKNN,satimage-2,0.41000000000000003,0.996,0.9627
IFSKNN,satimage-2,0.42000000000000004,0.9965,0.9632
IFSKNN,satimage-2,0.43,0.9966,0.9634
IFSKNN,satimage-2,0.44,0.997,0.9636
IFSKNN,satimage-2,0.45,0.9972,0.964
IFSKNN,satimage-2,0.46,0.9972,0.964
IFSKNN,satimage-2,0.47000000000000003,0.9974,0.9638
IFSKNN,satimage-2,0.48000000000000004,0.9977,0.9629
IFSKNN,satimage-2,0.49,0.9977,0.9633
IFSKNN,satimage-2,0.5,0.9978,0.9637
IFSKNN,satimage-2,0.51,0.9979,0.9641
IFSKNN,satimage-2,0.52,0.998,0.9641
IFSKNN,satimage-2,0.53,0.998,0.9643
IFSKNN,satimage-2,0.54,0.998,0.9645
IFSKNN,satimage-2,0.55,0.9981,0.9648
IFSKNN,satimage-2,0.56,0.9982,0.9651
IFSKNN,satimage-2,0.5700000000000001,0.9982,0.9649
IFSKNN,satimage-2,0.5800000000000001,0.9982,0.9649
IFSKNN,satimage-2,0.59,0.9982,0.9649
IFSKNN,satimage-2,0.6,0.9982,0.9645
IFSKNN,satimage-2,0.61,0.9982,0.9647
IFSKNN,satimage-2,0.62,0.9983,0.9648
IFSKNN,satimage-2,0.63,0.9983,0.9652
IFSKNN,satimage-2,0.64,0.9984,0.9653
IFSKNN,satimage-2,0.65,0.9984,0.9655
IFSKNN,satimage-2,0.66,0.9984,0.9654
IFSKNN,satimage-2,0.67,0.9985,0.9655
IFSKNN,satimage-2,0.68,0.9986,0.9662
IFSKNN,satimage-2,0.6900000000000001,0.9986,0.9663
IFSKNN,satimage-2,0.7000000000000001,0.9986,0.9669
IFSKNN,satimage-2,0.7100000000000001,0.9987,0.9671
IFSKNN,satimage-2,0.72,0.9987,0.9664
IFSKNN,satimage-2,0.73,0.9987,0.9667
IFSKNN,satimage-2,0.74,0.9987,0.9672
IFSKNN,satimage-2,0.75,0.9987,0.9666
IFSKNN,satimage-2,0.76,0.9988,0.9678
IFSKNN,satimage-2,0.77,0.9988,0.9681
IFSKNN,satimage-2,0.78,0.9988,0.9681
IFSKNN,satimage-2,0.79,0.9988,0.9676
IFSKNN,satimage-2,0.8,0.9988,0.9682
IFSKNN,satimage-2,0.81,0.9988,0.9681
IFSKNN,satimage-2,0.8200000000000001,0.9988,0.9667
IFSKNN,satimage-2,0.8300000000000001,0.9989,0.9676
IFSKNN,satimage-2,0.8400000000000001,0.9989,0.9679
IFSKNN,satimage-2,0.85,0.9989,0.9679
IFSKNN,satimage-2,0.86,0.9988,0.9669
IFSKNN,satimage-2,0.87,0.9988,0.9672
IFSKNN,satimage-2,0.88,0.9987,0.9677
IFSKNN,satimage-2,0.89,0.9985,0.9669
IFSKNN,satimage-2,0.9,0.9985,0.9669
IFSKNN,satimage-2,0.91,0.9985,0.9675
IFSKNN,satimage-2,0.92,0.9985,0.9664
IFSKNN,satimage-2,0.93,0.9985,0.9662
IFSKNN,satimage-2,0.9400000000000001,0.9985,0.9664
IFSKNN,satimage-2,0.9500000000000001,0.9985,0.9651
IFSKNN,satimage-2,0.9600000000000001,0.9986,0.9653
IFSKNN,satimage-2,0.97,0.9986,0.966
IFSKNN,satimage-2,0.98,0.9987,0.9658
IFSKNN,satimage-2,0.99,0.9987,0.9689
IFSKNN,satimage-2,1.0,0.9347,0.3728